id;building i;level;age;acces_poin;time;comment;function;population
73;7;1;2;;1;colledge1st fl;educaition;2
83;7;2;2;;1;colledge2nd fl;education;2
86;7;3;2;;1;colledge3rd fl;education;2
4;7;4;2;;1;colledge4th fl;education;2
5;1;1;3;3;;ugly fashion shop;retail;2
6;1;1;;2;4;produkti;retail;3
7;1;1;3;2;4;chou chou;restaurant;2
8;1;1;3;2;2;burlesque entrance;entertainment;3
9;1;1;;1;4;salon krasoti;service;2
10;1;2;2;3;4;salon strijki;service;1
11;1;2;3;2;2;burlesque2nd floor;entertainment;3
12;1;3;;3;;;empty;
13;1;4;;3;;;empty;
14;1;3;;1;;hotel;service;
15;1;4;;1;;;empty;
16;1;5;;1;;;empty;
17;1;5;2;1;4;make it center;education;2
18;1;5;2;1;4;krysha bar;restaurant;2
19;2;1;3;4;4;stomatology;service;2
20;2;1;3;4;4;helix;service;2
21;2;1;3;6;1;helix;service;1
22;2;2;3;6;1;helix;service;1
23;2;3;3;6;1;helix;service;1
24;2;4;3;6;1;helix;service;1
25;2;1;3;5;1;helix;service;1
26;2;2;3;5;1;helix;service;1
27;2;3;3;5;1;helix;service;1
28;2;4;3;5;1;helix;service;1
29;2;2;3;4;1;helix;service;1
30;17;1;3;11;1;group M;production;1
31;17;1;2;12;4;gallery;art;1
32;17;2;3;11;1;group M;production;1
33;17;3;3;11;1;group M;production;1
34;17;4;3;11;1;group M;production;1
35;16;1;;13;;;empty;0
36;16;2;;13;;;empty;0
37;13;1;;14;;;empty;0
38;13;2;;14;;;empty;0
39;13;3;;14;;;empty;0
40;13;4;;14;;;empty;0
41;19;1;3;15;1;;office;1
42;19;2;0;15;0;;emply;0
43;19;3;0;15;0;;empty;0
44;19;4;0;15;0;;empty;0
45;20;1;;;;cotelnaya;empty;0
46;21;1;;16;;;empty;0
47;21;1;;17;;;empty;0
48;21;1;3;17;1;laborotory;production;1
49;21;2;3;17;1;laborotory;production;1
50;22;1;3;18;1;stolovaya;restaurant;1
51;22;1;;19;;;empty;0
52;22;2;;19;;;empty;0
53;22;1;2;19;1;FabLab;education;1
54;22;2;3;19;1;;office;1
55;22;3;3;19;1;;office;1
56;23;1;3;20;1;poligraphy;production;1
57;23;2;3;20;1;;office;1
58;23;3;3;21;1;;office;1
59;11;1;3;22;1;KEY;service;1
60;11;2;;22;;;empty;1
61;11;3;;22;;;empty;1
62;11;4;;22;;;empty;1
63;11;5;;22;;;empty;1
64;12;1;;9;;;empty;0
65;12;2;;9;;;empty;0
66;12;3;;9;;;empty;0
67;12;4;;9;;;empty;0
68;12;1;3;1;4;mister chan;restaurant;1
69;12;1;3;8;1;;office;1
70;12;1;3;7;1;garant;office;2
71;12;2;3;7;1;garant;office;2
72;12;3;3;7;2;nightclub;entertainment;2
73;12;4;3;7;2;office;office;1
74;4;1;3;23;1;sklad;production;1
75;4;2;;23;1;sklad;empty;1
76;4;3;;23;1;sklad;empty;1
77;4;4;;23;1;sklad;empty;1
78;9;1;2;24;3;a2;entertainment;3
79;9;2;3;24;1;a2;office;1
80;9;3;;25;;;empty;0
81;9;4;2;25;1;tseh22;art;2
84;9;3;;26;;;empty;0
82;9;1;3;26;1;sklad;production;1
83;9;2;;26;;;empty;0
87;9;3;3;27;1;;office;1
85;9;1;3;27;1;;retail;1
86;9;2;3;27;1;;office;1
88;10;1;3;28;4;vasabi;restaurant;2
89;10;1;3;28;1;bc karpovka;office;2
92;10;4;3;28;1;bc karpovka;office;2
90;10;2;3;28;1;bc karpovka;office;2
91;10;3;3;28;1;bc karpovka;office;2
96;8;4;;29;;;empty;0
93;8;1;;29;;;empty;0
94;8;2;;29;;;empty;0
95;8;3;;29;;;empty;0
98;6;2;;29;;;empty;0
97;6;1;;29;;;empty;0
103;3;5;3;30;1;;office;1
99;3;1;3;30;1;;office;1
100;3;2;3;30;1;;office;1
101;3;3;3;30;1;;office;1
102;3;4;3;30;1;;office;1
108;5;5;3;31;1;;office;1
104;5;1;3;31;1;pelmennaya;restaurant;2
105;5;2;3;31;1;;office;1
106;5;3;3;31;1;;office;1
107;5;4;3;31;1;;office;1
109;18;1;3;10;4;interiernii salon;retail;1
110;18;1;;10;;;empty;0
111;18;4;3;10;1;institut geoproekynii;production;1
112;18;4;;10;;;empty;0
113;18;2;;10;;;empty;0
114;18;3;;10;;;empty;0
118;24;4;3;14;1;;office;1
115;24;1;3;14;1;;office;1
116;24;2;3;14;1;;office;1
117;24;3;3;14;1;;office;1
125;14;7;2;32;1;med college;education;1
119;14;1;2;32;1;med college;education;1
120;14;2;2;32;1;med college;education;1
121;14;3;2;32;1;med college;education;1
122;14;4;2;32;1;med college;education;1
123;14;5;2;32;1;med college;education;1
124;14;6;2;32;1;med college;education;1
132;15;7;3;33;1;proektnii institut;production;1
126;15;1;3;33;1;proektnii institut;production;1
127;15;2;3;33;1;proektnii institut;production;1
128;15;3;3;33;1;proektnii institut;production;1
129;15;4;3;33;1;proektnii institut;production;1
130;15;5;3;33;1;proektnii institut;production;1
131;15;6;3;33;1;proektnii institut;production;1
139;15;7;3;33;1;government;office;1
133;15;1;3;33;1;government;office;1
134;15;2;3;33;1;government;office;1
135;15;3;3;33;1;government;office;1
136;15;4;3;33;1;government;office;1
137;15;5;3;33;1;government;office;1
138;15;6;3;33;1;government;office;1
