id,OSM_ID,BUILDING,A_STRT,A_SBRB,A_HSNMBR,NAME
1,          101443120,warehouse,,,4,
1,           34580007,industrial,,,5,
1,          101443130,yes,,,5,
1,           35006262,yes,,,2,
1,          101443141,yes,,,5,
1,          101443127,yes,,,,
1,          101443125,industrial,,,5,
1,           35006169,industrial,,,5,
1,          101443139,yes,,,5,
1,          101443103,industrial,,,5,
1,           35006156,yes,,,6,
1,          101443101,yes,,,5,
1,          101443124,university,,,4,
1,          101443137,warehouse,,,6,
1,          101443109,industrial,,,5,
1,          101443105,industrial,,,5,
1,          101443100,industrial,,,5,
1,          186062774,yes,,,,
1,           28715989,yes,,,11,
1,          101443112,industrial,,,5,
1,          101443131,office,,,7,
1,          101443121,office,,,5,
1,          101443106,office,,,5,
1,           51074036,office,,,5,
1,           51073917,yes,,,7,
1,           34831622,office,,,9,
1,          101443116,industrial,,,5,
1,          101443117,industrial,,,3,
1,          101443129,industrial,,,5,
1,          101443113,industrial,,,5,
0,,,,,,diagonal
